iter	Passed	Remaining
587	3891	2726
588	3895	2718
589	3900	2710
590	3906	2703
591	3911	2695
592	3915	2687
593	3921	2680
594	3926	2672
595	3931	2664
596	3937	2658
597	3942	2650
598	3949	2643
599	3958	2639
600	3966	2633
601	3972	2626
602	3976	2618
603	3982	2610
604	3987	2603
605	3992	2595
606	3999	2589
607	4007	2584
608	4012	2576
609	4017	2568
610	4024	2562
611	4036	2558
612	4043	2552
613	4047	2544
614	4050	2535
615	4058	2529
616	4064	2523
617	4071	2516
618	4076	2509
619	4085	2504
620	4091	2496
621	4097	2489
622	4101	2481
623	4106	2474
624	4113	2468
625	4118	2460
626	4126	2454
627	4129	2446
628	4141	2442
629	4146	2435
630	4152	2428
631	4156	2420
632	4161	2412
633	4165	2404
634	4174	2399
635	4181	2393
636	4187	2386
637	4192	2378
638	4196	2370
639	4200	2640	640	4209	2641	641	4216	2351
642	4224	2345
643	4231	2338
644	4235	2331
645	4244	2326
646	4251	2319
647	4257	2312
648	4263	2305
649	4267	2298
650	4276	2292
651	4281	2285
652	4287	2278
653	4294	2272
654	4303	2266
655	4309	2260
656	4315	2253
657	4320	2245
658	4325	2238
659	4330	2231
660	4340	2225
661	4346	2219
662	4353	2212
663	4360	2206
664	4365	2199
665	4372	2192
666	4379	2186
667	4383	2178
668	4391	2172
669	4395	2165
670	4400	2157
671	4407	2151
672	4413	2144
673	4421	2138
674	4428	2132
675	4434	2125
676	4439	2117
677	4444	2110
678	4450	2104
679	4455	2096
680	4460	2089
681	4467	2083
682	4474	2076
683	4483	2071
684	4490	2065
685	4495	2057
686	4499	2050
687	4505	2043
688	4511	2036
689	4516	2029
690	4520	2021
691	4526	2014
692	4533	2008
693	4539	2001
694	4544	1994
695	4551	1988
696	4557	1981
697	4563	1974
698	4567	1966
699	4572	1959
700	4578	1952
701	4586	1947
702	4595	1941
703	4601	1934
704	4604	1926
705	4608	1918
706	4615	1912
707	4620	1905
708	4626	1898
709	4635	1893
710	4644	1887
711	4651	1881
712	4656	1874
713	4662	1867
714	4669	1861
715	4674	1854
716	4681	1847
717	4692	1843
718	4696	1835
719	4702	1828
720	4709	1822
721	4716	1815
722	4722	1809
723	4727	1802
724	4733	1795
725	4740	1789
726	4745	1781
727	4752	1775
728	4758	1768
729	4764	1762
730	4771	1755
731	4775	1748
732	4783	1742
733	4791	1736
734	4795	1729
735	4802	1722
736	4807	1715
737	4811	1708
738	4819	1702
739	4826	1695
740	4832	1689
741	4839	1682
742	4844	1675
743	4850	1669
744	4857	1662
745	4864	1656
746	4873	1650
747	4877	1643
748	4884	1636
749	4889	1629
750	4899	1624
751	4904	1617
752	4908	1610
753	4914	1603
754	4918	1596
755	4924	1589
756	4928	1582
757	4932	1574
758	4936	1567
759	4940	760	4942	1552
761	4761	4949	762	4762	4957	763	4763	4963	764	4967	1526
765	4977	1520
766	4982	1513
767	4990	1507
768	4994	1500
769	5001	1493
770	5006	1487
771	5014	1480
772	5020	1474
773	5024	1467
774	5028	1459
775	5035	1453
776	5776	5041	777	5777	5049	778	5054	1433
779	5779	5064	780	5067	1421
781	5074	1414
782	5081	1408
783	5090	1402
784	5096	1395
785	5104	1389
786	5110	1383
787	5116	1376
788	5788	5126	789	5131	1363
790	5137	1357
791	5145	1351
792	5150	1344
793	5793	5161	794	5794	5172	1333
795	5178	1327
796	5184	1320
797	5190	1313
798	5198	1307
799	5203	1300
800	5209	1294
801	5218	1288
802	5224	1281
803	5235	1276
804	5240	1269
805	5245	1262
806	5253	1256
807	5259	1249
808	5264	1242
809	5271	1236
810	5278	1230
811	5287	1224
812	5293	1217
813	5296	1210
814	5302	1203
815	5308	1196
816	5314	1190
817	5320	1183
818	5325	1176
819	5328	1169
820	5331	1162
821	5341	1156
822	5349	1150
823	5357	1144
824	5397	1145
825	5403	1138
826	5410	1131
827	5416	1125
828	5420	829	5829	5427	1111
830	5431	831	5831	5446	1099
832	5450	833	5833	5454	834	5834	5458	835	5835	5465	836	5836	5470	837	5837	5477	1058
838	5482	1052
839	5486	840	5840	5491	841	5841	5494	842	5842	5499	843	5843	5504	844	5844	5509	845	5845	5513	846	5846	5518847	5847	5524848	5848	5531	983
849	5537	977
850	5541	970
851	5545	963
852	5551	956
853	5555854	5854	5559855	5855	5564856	5856	5568857	5857	5574858	5858	5578859	5859	5584860	5860	5590	902
861	5595	895
862	5599863	5863	5603864	5864	5607865	5865	5610866	5866	5614	861
867	5619	854
868	5622	847
869	5627	840
870	5630	833
871	5634	827
872	5638	820
873	5641874	5874	5646	806
875	5649	799
876	5653	792
877	5655878	5878	5660	779
879	5663	772
880	5666881	5881	5669882	5882	5673883	5883	5677884	5884	5682885	5885	5685886	5886	5689887	5688	717
888	5692	710
889	5698	704
890	5703	697
891	5891	5713892	5892	5717893	5716	677
894	5721	671
895	5724	664
896	5896	5734897	5897	5740898	5898	5745899	5899	5748900	5900	5753	632
901	5757	625
902	5763	619
903	5766	612
904	5769	605
905	5774	599
906	5779	592
907	5784	586
908	5786	579
909	5791	572
910	5794911	5911	5797912	5912	5801	552
913	5805914	5914	5808915	5915	5813	533
916	5817	526
917	5819918	5817	512
919	5822	506
920	5826	499
921	5831	493
922	5837	486
